Generation,FITNESS,SAFE_DISTANCE,SEARCH_ROTATION_TIME,SEARCH_MOVE_TIME,SWITCH_ROTATION_DIRECTION,EVADE_ON_TARGETED,ATTACK_ON_TARGETED,DETECT_TARGETED,CHASE_HEALTH_FOOD,CHASE_SPEED_FOOD,CHASE_RSPEED_FOOD,CHASE_DAMAGE_FOOD,SWITCH_FROM_CURRENT_GOAL,SWITCH_TO_ATTACK_STATE,STARTING_SPEED,STARTING_RSPEED,STARTING_HEALTH,STARTING_DAMAGE,VIEW_DISTANCE,VIEW_WIDTH,MASS,CHASE_TIME
0,0,9819,0.91841852664948,0.04048650339246,0.02995129097006,0.35550305247307,0.60339903831482,0.61729383527553,0.53078150749207,0.71037148950934,0.25151143041207,0.02612156420946,0.14821099786156,0.08284138888121,284.581013810132,450.32917317582,190,58,31,26,2,2.09322849919606
0,0,10000,0.49370175994141,0.54642298938006,0.13636982440948,0.23469072156311,0.62490214920535,0.89283624339039,0.80594908629139,0.84414370107039,0.1491534665566,0.85606476542402,0.62055039405823,0.27120429207364,0,200.698792075838,194,0,0,5,2,3
0,10,10000,0.82508845014428,0.3907932639122,0.12093557532626,0.96278142929077,0.65715348125237,0.49911293540977,0.75154197216034,0.56591576337814,0.4408821458201,0.23279427505686,0.85711187124252,0.56553768893495,214.454919298074,256.901040299515,100,20,5,5,2,2.98553094954961
0,10,10000,0.27847960591316,0.03422459959984,0.18182135104648,0.04168651625514,0.50709519449771,0.23342040781383,0.93586529948294,0.30404514074326,0.8560716509819,0.69939106702805,0.23126621544361,0.85425144559371,231.164285257561,258.892242865329,145,17,7,0,2,3.47264809517295
0,0,14862,0.8879035272867,0.02837488923067,0.21113167748503,0.95763899678942,0.86215791353284,0.42192575335503,0.10154320299625,0.37109315395355,0.65522015094757,0.21122624822546,0.26640717799148,0.26806825399399,167.588434831975,185.012343583374,90,20,35,5,2,3.52170138168782
0,0,10000,0.01526835874608,0.53284102678299,0.73216009341114,0.9041873216629,0.40679466135926,0.32973060011864,0.87848517601382,0.25282552712427,0.89665150642395,0.68381929397583,0.31043049693108,0.33727473020554,160.951999452461,0,126,20,0,5,2,3
0,0,7644,0.031728643924,0.97884591613211,0.86684018373489,0.26095703504015,0.78769892454147,0.73204864645317,0.87121898990045,0.95972645282745,0.33760806918144,0.472296667917,0.44695506773939,0.22489630213214,132.015266223792,207.248452256329,100,20,0,5,2,3
0,0,12691,0.45340120792389,0.18367932874677,0.12939831614494,0.6554309129715,0.94989407062531,0.1492335498333,0.63675552606583,0.38724738359451,0.13191640377045,0.06569428643601,0.33709048477432,0.93585324287415,164.605683326383,0,57,39,5,5,2,3.78004657075756
0,5,14735,0.48009684681892,0.11434341222048,0.168910831213,0.24658031761646,0.94626617900879,0.58418934666885,0.74881631135941,0.37986436755349,0.84321819274654,0.13125781337044,0.72624676591682,0.33969950675964,199.587159686752,513.705289555658,100,20,5,27,2.64581807800018,2.78557307333153
0,5,10000,0.66752618551254,0.88437510464485,0.37328886985779,0.95390422418787,0.35158407688141,0.25036066770554,0.1480730562347,0.80916583538055,0.45049542188644,0.16536454856396,0.10152006149292,0.25696015357971,201.199413132552,143.369866266259,100,20,5,5,2.14290031414175,3
0,5,10741,0.15494158864021,0.5089151328708,0.52215056680455,0.82859712839127,0.32015932636027,0.33366852998734,0.59547911804569,0.86280218623152,0.41078138494142,0.60104180346135,0.44881671667099,0.01276477146894,116.595593345129,180.08630253931,186,39,0,5,2,3.344298447009
0,10,10000,0.95629811286926,0.84149259328842,0.15737380760588,0.91450478516624,0.21686510222951,0.48324453830719,0.87913535169096,0.93225002349494,0.73349986603963,0.23049984872341,0.25254021533416,0.28470207977519,167.086714262832,271.45049252101,41,51,0,27,2,2.83849827886164
0,0,10000,0.73705184542425,0.73140200351819,0.26994422078133,0.35401805905701,0.69147088012548,0.30063906413578,0.95322388410568,0.41903007030487,0.04344393312931,0.03344106301665,0.92936861900567,0.63390702009201,227.877405038667,280.921957168248,176,4,5,3,1.02754680570987,3.19671989887649
